Date,High,Low,Price
01/08/2021,1100.0,1060.0,1080.0
01/15/2021,1080.0,1060.0,1070.0
01/22/2021,1080.0,1060.0,1070.0
01/29/2021,1080.0,1060.0,1070.0
02/05/2021,1100.0,1060.0,1080.0
02/12/2021,1100.0,1060.0,1080.0
02/19/2021,1100.0,1060.0,1080.0
02/26/2021,1280.0,1230.0,1255.0
03/05/2021,1330.0,1255.0,1292.5
03/12/2021,1330.0,1255.0,1292.5
03/19/2021,1350.0,1275.0,1312.5
03/26/2021,1350.0,1275.0,1312.5
04/02/2021,1350.0,1275.0,1312.5
04/09/2021,1320.0,1280.0,1300.0
04/16/2021,1295.0,1250.0,1272.5
04/23/2021,1245.0,1200.0,1222.5
04/30/2021,1175.0,1130.0,1152.5
05/07/2021,1155.0,1110.0,1132.5
05/14/2021,1155.0,1130.0,1142.5
05/21/2021,1155.0,1100.0,1127.5
05/28/2021,1115.0,1090.0,1102.5
06/04/2021,1105.0,1090.0,1097.5
06/11/2021,1105.0,1090.0,1097.5
06/18/2021,1095.0,1080.0,1087.5
06/25/2021,1110.0,1090.0,1100.0
07/02/2021,1110.0,1090.0,1100.0
07/09/2021,1130.0,1100.0,1115.0
07/16/2021,1130.0,1090.0,1110.0
07/23/2021,1130.0,1100.0,1115.0
07/30/2021,1150.0,1100.0,1125.0
08/06/2021,1140.0,1090.0,1115.0
08/13/2021,1140.0,1090.0,1115.0
08/20/2021,1150.0,1110.0,1130.0
08/27/2021,1150.0,1110.0,1130.0
09/03/2021,1140.0,1100.0,1120.0
09/10/2021,1130.0,1100.0,1115.0
09/17/2021,1175.0,1100.0,1137.5
09/24/2021,1180.0,1150.0,1165.0
10/01/2021,1220.0,1200.0,1210.0
10/08/2021,1280.0,1270.0,1275.0
10/15/2021,1300.0,1280.0,1290.0
10/22/2021,1270.0,1240.0,1255.0
10/29/2021,1220.0,1200.0,1210.0
11/05/2021,1200.0,1190.0,1195.0
11/12/2021,1200.0,1190.0,1195.0
11/19/2021,1190.0,1160.0,1175.0
11/26/2021,1165.0,1150.0,1157.5
12/03/2021,1150.0,1130.0,1140.0
12/10/2021,1140.0,1130.0,1135.0
12/17/2021,1120.0,1080.0,1100.0
12/24/2021,1100.0,1080.0,1090.0
12/31/2021,1100.0,1075.0,1087.5
01/07/2022,1100.0,1070.0,1085.0
01/14/2022,1100.0,1070.0,1085.0
01/21/2022,1150.0,1085.0,1117.5
01/28/2022,1130.0,1100.0,1115.0
02/04/2022,1470.0,1410.0,1440.0
02/11/2022,1150.0,1130.0,1140.0
02/18/2022,1140.0,1130.0,1135.0
02/25/2022,1180.0,1150.0,1165.0
03/04/2022,1200.0,1170.0,1185.0
03/11/2022,1280.0,1220.0,1250.0
03/18/2022,1260.0,1220.0,1240.0
03/25/2022,1280.0,1210.0,1245.0
04/01/2022,1240.0,1210.0,1225.0
04/08/2022,1230.0,1210.0,1220.0
04/15/2022,1220.0,1190.0,1205.0
04/22/2022,1240.0,1180.0,1210.0
04/29/2022,1210.0,1170.0,1190.0
05/06/2022,1210.0,1150.0,1180.0
05/13/2022,1180.0,1110.0,1145.0
05/20/2022,1150.0,1090.0,1120.0
05/27/2022,1130.0,1090.0,1110.0
06/03/2022,1130.0,1090.0,1110.0
06/10/2022,1130.0,1090.0,1110.0
06/17/2022,1110.0,1090.0,1100.0
06/24/2022,1090.0,1060.0,1075.0
07/01/2022,1090.0,1065.0,1077.5
07/08/2022,1070.0,1050.0,1060.0
07/15/2022,1050.0,990.0,1020.0
07/22/2022,980.0,960.0,970.0
07/29/2022,980.0,960.0,970.0
08/05/2022,980.0,970.0,975.0
08/12/2022,960.0,950.0,955.0
08/19/2022,965.0,920.0,942.5
08/26/2022,940.0,920.0,930.0
09/02/2022,930.0,920.0,925.0
09/09/2022,960.0,920.0,940.0
09/16/2022,960.0,920.0,940.0
09/23/2022,970.0,930.0,950.0
09/30/2022,960.0,930.0,945.0
10/07/2022,1080.0,1025.0,1052.5
10/14/2022,960.0,940.0,950.0
10/21/2022,940.0,910.0,925.0
